Era: Run2018A

+---------------------------+-------+------+-------+-------------------+------------------+
| hltpath                   | nfill | nrun | ncms  | totdelivered(/fb) | totrecorded(/fb) |
+---------------------------+-------+------+-------+-------------------+------------------+
| HLT_Mu10p5_IP3p5_part0_v1 | 3     | 3    | 1608  | 0.054194570       | 0.052738713      |
| HLT_Mu10p5_IP3p5_part1_v1 | 3     | 3    | 1608  | 0.054194570       | 0.052738713      |
| HLT_Mu10p5_IP3p5_part2_v1 | 3     | 3    | 1608  | 0.054194570       | 0.052738713      |
| HLT_Mu10p5_IP3p5_part3_v1 | 3     | 3    | 1608  | 0.054194570       | 0.052738713      |
| HLT_Mu10p5_IP3p5_part4_v1 | 3     | 3    | 1608  | 0.054194570       | 0.052738713      |
| HLT_Mu10p5_IP3p5_part5_v1 | 3     | 3    | 1608  | 0.054194570       | 0.052738713      |
| HLT_Mu8_IP3_part0_v1      | 4     | 6    | 1572  | 0.047189581       | 0.045160409      |
| HLT_Mu8_IP3_part0_v2      | 4     | 5    | 1048  | 0.030108003       | 0.029134544      |
| HLT_Mu8_IP3_part1_v1      | 4     | 6    | 1572  | 0.047189581       | 0.045160409      |
| HLT_Mu8_IP3_part1_v2      | 4     | 5    | 1048  | 0.030108003       | 0.029134544      |
| HLT_Mu8_IP3_part2_v1      | 4     | 6    | 1572  | 0.047189581       | 0.045160409      |
| HLT_Mu8_IP3_part2_v2      | 4     | 5    | 1048  | 0.030108003       | 0.029134544      |
| HLT_Mu8_IP3_part3_v1      | 4     | 6    | 1572  | 0.047189581       | 0.045160409      |
| HLT_Mu8_IP3_part3_v2      | 4     | 5    | 1048  | 0.030108003       | 0.029134544      |
| HLT_Mu8_IP3_part4_v1      | 4     | 6    | 1572  | 0.047189581       | 0.045160409      |
| HLT_Mu8_IP3_part4_v2      | 4     | 5    | 1048  | 0.030108003       | 0.029134544      |
| HLT_Mu8_IP3_part5_v1      | 4     | 6    | 1572  | 0.047189581       | 0.045160409      |
| HLT_Mu8_IP3_part5_v2      | 4     | 5    | 1048  | 0.030108003       | 0.029134544      |
| HLT_Mu8p5_IP3p5_part0_v1  | 3     | 3    | 1608  | 0.054194570       | 0.052738713      |
| HLT_Mu8p5_IP3p5_part1_v1  | 3     | 3    | 1608  | 0.054194570       | 0.052738713      |
| HLT_Mu8p5_IP3p5_part2_v1  | 3     | 3    | 1608  | 0.054194570       | 0.052738713      |
| HLT_Mu8p5_IP3p5_part3_v1  | 3     | 3    | 1608  | 0.054194570       | 0.052738713      |
| HLT_Mu8p5_IP3p5_part4_v1  | 3     | 3    | 1608  | 0.054194570       | 0.052738713      |
| HLT_Mu8p5_IP3p5_part5_v1  | 3     | 3    | 1608  | 0.054194570       | 0.052738713      |
| HLT_Mu9_IP6_part0_v1      | 8     | 15   | 7871  | 0.303817379       | 0.293224233      |
| HLT_Mu9_IP6_part0_v2      | 16    | 29   | 14036 | 0.562747294       | 0.543626885      |
| HLT_Mu9_IP6_part1_v1      | 8     | 15   | 7871  | 0.303817379       | 0.293224233      |
| HLT_Mu9_IP6_part1_v2      | 16    | 29   | 14036 | 0.562747294       | 0.543626885      |
| HLT_Mu9_IP6_part2_v1      | 8     | 15   | 7871  | 0.303817379       | 0.293224233      |
| HLT_Mu9_IP6_part2_v2      | 16    | 29   | 14036 | 0.562747294       | 0.543626885      |
